&#160;	&#160;	Term	Count	Trend
		object	260	0.0045381743,0.004764065,0.011260054,0.009224091,0.012057086,0.0030959751,0.005640158,0.012797075,0.0051104515,0.012097883
		ufo	221	0.012546716,0.0029491833,0.005630027,0.0059685297,0.0061515747,0.013003096,0.008460237,0.0018281536,0.0024727993,0.011273027
		said	140	0.008275494,0.00068058074,0.0032171581,0.0035268583,0.005413386,0,0.02425268,0.010968922,0.0016485328,0
		saw	86	0.0021356114,0.001814882,0.001072386,0.003798155,0.002706693,0.00061919505,0.005640158,0.005484461,0.0034619188,0.0016497113
		light	80	0.0016017085,0.0013611615,0.0034852547,0.0021703744,0.003198819,0.0012383901,0.009024253,0.0018281536,0.0006594131,0.0030244708
		air	78	0.0010678057,0.001814882,0.0002680965,0.0005425936,0.000738189,0.0012383901,0.0011280316,0.005484461,0.0004945598,0.013747594
		time	73	0.0021356114,0.001814882,0.0024128687,0.0029842649,0.00246063,0.00061919505,0.0016920473,0.0036563072,0.0032970656,0.0002749519
		video	71	0.0024025626,0.0004537205,0.005093834,0.003798155,0.003690945,0.0061919503,0,0,0.00032970656,0
		like	68	0.0026695142,0.00068058074,0.0016085791,0.0021703744,0.001230315,0.0018575852,0.005076142,0.0036563072,0.0018133861,0.0030244708
		bledsoe	62	0,0,0,0,0,0,0,0,0.010220903,0
		force	58	0,0.0011343013,0,0,0.000246063,0.00061919505,0.0005640158,0,0,0.013747594
		lights	57	0.00053390284,0.0015880218,0.0018766756,0.001356484,0.001968504,0.0043343655,0.0016920473,0,0.0026376524,0.0005499038
		sky	52	0.0018686599,0.00068058074,0.0013404826,0.0024416712,0.001968504,0.00061919505,0.002820079,0,0.0018133861,0.00082485564
		incident	49	0,0.0004537205,0.00080428954,0.001356484,0.001230315,0.00061919505,0.0016920473,0.0018281536,0.0004945598,0.007148749
		sighting	48	0.00026695142,0.00068058074,0.0018766756,0.0005425936,0.001968504,0.0024767802,0.0016920473,0,0.0008242664,0.004124278
		witness	47	0.00026695142,0.00068058074,0.0048257373,0.0010851872,0.002706693,0.0030959751,0.0005640158,0,0.0006594131,0
		seen	46	0.003203417,0.0015880218,0.0002680965,0.0008138904,0.001476378,0.00061919505,0.0005640158,0.0018281536,0.0021430927,0.0002749519
		taken	46	0.0045381743,0.00068058074,0.0013404826,0.0016277808,0.0017224409,0.0037151703,0,0,0.00032970656,0
		greek	45	0,0,0,0,0,0,0,0,0,0.012372835
		just	45	0.003203417,0.0011343013,0.000536193,0.0029842649,0.000984252,0.00061919505,0.0005640158,0,0.0008242664,0.0010998076
		area	44	0.0024025626,0.0020417422,0.0013404826,0.0016277808,0.000738189,0.0012383901,0.0022560633,0.0018281536,0.0008242664,0
		flying	44	0.0016017085,0.00022686025,0.001072386,0.0018990776,0.000984252,0.0030959751,0.0005640158,0.0018281536,0.0016485328,0.0013747594
		police	42	0,0.006352087,0.0002680965,0,0.000246063,0,0.0039481106,0,0.0004945598,0.0005499038
		report	42	0,0.0013611615,0.0026809652,0.0010851872,0.001476378,0.0024767802,0.0022560633,0.0036563072,0.0009891196,0
		ufos	41	0.0021356114,0.0011343013,0,0.0008138904,0.001476378,0.0012383901,0,0,0.0014836795,0.0021996151
		tape	40	0.006406834,0.00022686025,0.0032171581,0.0005425936,0,0,0,0,0.00016485328,0
		right	39	0.0024025626,0.001814882,0.0002680965,0.0018990776,0.000738189,0.00061919505,0,0,0.0006594131,0.0016497113
		footage	38	0.00560598,0,0.0018766756,0.0005425936,0.001476378,0,0,0,0.00032970656,0
		near	38	0.00080085424,0.001814882,0.0018766756,0.0008138904,0.001968504,0,0,0,0.0006594131,0.0013747594
		october	37	0.003203417,0.0013611615,0.0026809652,0,0,0.00061919505,0.0005640158,0,0.00016485328,0.0016497113
		station	37	0,0.001814882,0.0037533513,0,0.000492126,0,0,0,0.0004945598,0.0027495187
		appeared	36	0.0010678057,0.000907441,0.0013404826,0.0005425936,0.001230315,0.0030959751,0.0022560633,0.0018281536,0.0009891196,0
		looked	36	0.0013347571,0.00068058074,0.000536193,0.0021703744,0.000492126,0,0.0045121266,0.0018281536,0.0009891196,0.0002749519
		rowlands	36	0.009610251,0,0,0,0,0,0,0,0,0
		sightings	36	0.0026695142,0,0,0.0018990776,0.001968504,0.00061919505,0.0005640158,0.005484461,0.0009891196,0
		went	35	0.00053390284,0.00068058074,0.0013404826,0.0021703744,0.002214567,0,0.0011280316,0.0018281536,0.0008242664,0
		craft	34	0.00026695142,0.0004537205,0.0002680965,0.0008138904,0.000492126,0.012383901,0,0,0,0.0013747594
		film	34	0.003203417,0,0.0002680965,0.003798155,0,0,0,0,0.0011539729,0
		know	34	0,0.00068058074,0.002144772,0.0024416712,0.001230315,0.00061919505,0,0,0.00032970656,0.0016497113
		moving	33	0,0.0004537205,0.001072386,0.001356484,0.001476378,0.0012383901,0.0005640158,0,0.00016485328,0.0032994226
		reported	33	0.00026695142,0.000907441,0.0002680965,0.0005425936,0.001476378,0.0012383901,0.005076142,0,0.0004945598,0.0013747594
		staff	33	0,0.0004537205,0.0002680965,0.0002712968,0,0,0.0011280316,0,0.00016485328,0.007148749
		use	33	0,0.00022686025,0,0.0021703744,0.000246063,0,0.0039481106,0,0.0014836795,0.0019246632
		bright	32	0.00053390284,0.0011343013,0.001072386,0.0018990776,0.000492126,0.00061919505,0.0011280316,0.0018281536,0.0004945598,0.0013747594
		mr	32	0.003203417,0,0.0048257373,0,0,0,0,0,0.00032970656,0
		airport	31	0,0.000907441,0.0016085791,0.0002712968,0,0,0,0,0.0008242664,0.004124278
		control	31	0,0.00068058074,0,0.0002712968,0.000246063,0,0,0.0018281536,0,0.006873797
		athens	30	0,0,0,0,0,0,0,0,0,0.008248556
		case	30	0,0.0013611615,0.0002680965,0.0010851872,0.000984252,0,0,0,0.0024727993,0
		keith	30	0,0.006805808,0,0,0,0,0,0,0,0
		mufon	30	0,0,0,0.001356484,0.0017224409,0,0,0,0.002967359,0
		objects	30	0,0.00022686025,0.0016085791,0.0005425936,0.002214567,0,0.0016920473,0.0018281536,0.0013188262,0
		radar	30	0,0,0.0002680965,0,0.001476378,0,0,0.005484461,0,0.0054990374
		shaped	29	0.00080085424,0.0011343013,0.0018766756,0.001356484,0.000984252,0,0,0,0.0008242664,0
		away	28	0,0.00068058074,0.00080428954,0.0005425936,0.001476378,0.0012383901,0,0.005484461,0.0013188262,0.0002749519
		casebook	28	0,0,0.001072386,0.0029842649,0,0,0.0022560633,0,0.0008242664,0.0010998076
		took	28	0,0.0015880218,0.001072386,0.0010851872,0.001230315,0.00061919505,0.0005640158,0,0.0008242664,0.0002749519
		amy	27	0,0.006125227,0,0,0,0,0,0,0,0
		left	27	0.00026695142,0.0013611615,0.000536193,0.0016277808,0,0,0,0.0018281536,0.0018133861,0
		ground	26	0,0.0004537205,0.000536193,0.0002712968,0.000492126,0.0012383901,0.0005640158,0,0.0008242664,0.0030244708
		hours	26	0,0.00068058074,0.001072386,0.0008138904,0.000984252,0.0030959751,0.0005640158,0,0.0009891196,0
		information	26	0,0.00022686025,0.0013404826,0.0008138904,0.000984252,0.0024767802,0.0016920473,0,0.0009891196,0
		investigation	26	0.00026695142,0.0022686026,0,0.0002712968,0.001230315,0,0.0016920473,0,0.00016485328,0.0013747594
		later	26	0,0.000907441,0.000536193,0.0002712968,0.000738189,0,0.0011280316,0.0018281536,0.0009891196,0.0019246632
		nasa	26	0.006406834,0,0,0,0,0,0,0,0.00032970656,0
		photograph	26	0.0034703685,0,0.00080428954,0.0008138904,0.000246063,0,0.0005640158,0,0,0.0013747594
		research	26	0.0034703685,0.00068058074,0.000536193,0.0002712968,0.000492126,0.0012383901,0.0005640158,0,0.00016485328,0.0002749519
		thought	26	0.00026695142,0.0004537205,0,0.0018990776,0.000984252,0.00061919505,0.0005640158,0.005484461,0.0011539729,0
		told	26	0,0.0011343013,0.0016085791,0,0.000492126,0,0.0005640158,0.0018281536,0.0018133861,0
		came	25	0.00026695142,0.0013611615,0.00080428954,0.0010851872,0.000492126,0,0.0011280316,0,0.0011539729,0
