&#160;	Document	Left	Term	Right
	0	bouncing several times: they 'flew 	like	 a saucer would if you
	0	UFO is described as 'saucer' - 	like	 in some aspect. written by
	0	Kenneth Arnold sighted flying disc-	like	 objects over Mt. Rainier, coining
	0	Air Raid Warden. She lived 	like	 many others, in fear of
	0	I had never seen anything 	like	 it in my life!' she
	0	seem to matter.''It was 	like	 the Fourth of July, but
	0	much louder. They were firing 	like	 crazy but they couldn\'t
	0	characters. The legend goes something 	like	 this; In 1946, General James
	0	noticed something different... a sound, 	like	 an explosion mingled with the
	0	and a sort of aluminum-	like	 foil. Some of these pieces
	0	of these pieces had something 	like	 numbers and lettering on them
	0	light they showed what looked 	like	 pastel flowers or designs. Even
	0	Even though the stuff looked 	like	 tape it could not be
	0	at all.''[The writing] looked 	like	 numbers mostly, at least I
	0	numbers. They were written out 	like	 you would write numbers in
	0	But they didn\'t look 	like	 the numbers we use at
	0	instrument packages. This was nothing 	like	 that. I have never seen
	0	He said the designs looked 	like	 the kind of stuff you
	0	in pastels, but not writing 	like	 we would do it.'Loretta
	0	The piece he brought looked 	like	 a kind of tan, light
	0	plastic...it was very lightweight, 	like	 balsa wood. It wasn\'t
	0	t wood. It was smooth 	like	 plastic, it didn\'t have
	0	real sharp corners, kind of 	like	 a dowel stick. Kind of
	0	officers, and just plain civilians 	like	 you and me, saw – or
	0	that looked from a distance 	like	 “toy balloons, almost pure white
	0	They just don’t write headlines 	like	 that over there anymore.But then
	0	water\'s surface that looked 	like	 a black submarine. The fishermen
	0	they thought it looked more 	like	 a monster than a submarine
	0	of what looked to him 	like	 the same or very similar
	0	shaft of light that seemed 	like	 that of a photographer\'s
	0	now an odd prickling, electric-	like	 sensation coursing through my body
	0	tip was a strange wraith-	like	 craft, one of the flying
	0	on either side with steamer-	like	 portholes. It seemed to radiate
	0	from which appeared a glowing 	like	 'burning magnesium.' The object had
	0	Witnesses also describe a sound 	like	 that of a V-2
	0	It was very intense, not 	like	 lightning or anything I had
	0	gray-looking object, which looked 	like	 a rotating inverted ice cream
	0	of two objects that looked 	like	 'two weather ceiling balloons' that
	0	green, red and white flare-	like	 objects flying in generally straight
	0	green, red and white flare-	like	 objects flying in generally straight
	0	know what the people look 	like	 - is that a credible story
	0	s fairly credible. I would 	like	 to see the time when
	0	Military personnel surrounded the aluminum-	like	 craft, which was brought down
	0	a weapon of some kind, 	like	 a rod. There was a
	0	had a cupola with blade-	like	 devices above it. Gatay, enthralled
	0	by walking away, but vanished 	like	 an image one erases. Then
	0	There was a man dressed 	like	 a diver in front of
	0	it had white lights flashing, 	like	 a camera flash,' he recalled
	0	humming.'It had what looked 	like	 windows but the glass was
	0	and streamlined with a surface 	like	 polished metal. It was very
	0	it also had what looked 	like	 three spheres inset into its
	0	and from the distance looked 	like	 it was metal. It was
	0	caught his eye. It looked 	like	 a spaceship. The object zipped
	0	was a cluster of lights, 	like	 a village, abouttwenty-five miles
