&#160;	&#160;	Term	Count	Trend
		ufo	230	0.008920763,0.0011235955,0.00044702727,0.0056760297,0.0040151156,0.010752688,0.0040143672,0.0035857123
		object	210	0.0017491692,0,0.0062583815,0.005967108,0.006849315,0.0012733446,0.005282062,0.011308785
		witnesses	103	0,0,0.0013410818,0.0016009314,0.0007085498,0.0011318619,0.002112825,0.009378017
		lights	85	0.00017491692,0.0011235955,0.0031291908,0.0017464707,0.002361833,0.0022637239,0.0076061697,0.00027582402
		time	76	0.0012244184,0.002247191,0.0013410818,0.0014553922,0.0018894662,0.0035370684,0.0031692372,0.0008274721
		area	71	0,0.0011235955,0.0017881091,0.0023286275,0.0028341992,0.0024052067,0.0012676949,0.0020686802
		said	71	0.0015742523,0.0011235955,0.0040232455,0.002619706,0.0016532829,0.0007074137,0.0014789774,0.0020686802
		seen	71	0.0012244184,0.0011235955,0.0044702725,0.0017464707,0.002361833,0.0014148274,0.002112825,0.0015170322
		use	65	0.0036732552,0,0.00044702727,0.00087323535,0.0018894662,0.0019807583,0.0016902599,0.00096538407
		craft	59	0.0008745846,0,0.0026821636,0.0010187746,0.00047236655,0.0007074137,0.0040143672,0.0020686802
		light	57	0.0010495015,0.002247191,0.0035762182,0.00043661767,0.00023618327,0.0009903791,0.0029579548,0.0022065921
		like	57	0.0015742523,0.002247191,0.0017881091,0.0017464707,0.0028341992,0.00028296548,0.0012676949,0.0013791202
		case	56	0.00227392,0,0,0.0011643138,0.0009447331,0.0011318619,0.0019015424,0.0019307681
		just	55	0.00069966767,0.0056179776,0.0017881091,0.00087323535,0.0028341992,0.0019807583,0.0012676949,0.00055164803
		abq	54	0,0,0,0,0.012753897,0,0,0
		air	54	0.0008745846,0.004494382,0.00044702727,0.001309853,0.0028341992,0.0012733446,0.0019015424,0.0006895601
		alien	53	0.0029735875,0,0,0.00043661767,0,0.0036785512,0.0010564125,0.00027582402
		saw	53	0.0008745846,0.0011235955,0.0026821636,0.0023286275,0.0016532829,0.0012733446,0.00084512995,0.0006895601
		radar	52	0.00052475074,0.0033707866,0.00089405454,0.0029107844,0.0037789324,0.00014148274,0,0.00096538407
		reports	51	0.00052475074,0,0.0031291908,0.0014553922,0.002598016,0.0011318619,0.0023241073,0.00013791201
		report	49	0.00052475074,0,0.0017881091,0.001309853,0.0007085498,0.00014148274,0.00084512995,0.0034478004
		564	47	0,0,0,0,0.011100614,0,0,0
		reported	47	0.0010495015,0,0.0017881091,0.0010187746,0.0016532829,0.00014148274,0.0023241073,0.0015170322
		aircraft	42	0.00034983383,0.0033707866,0.0017881091,0.001309853,0.0028341992,0.00028296548,0.00063384743,0.00096538407
		casebook	42	0.0024488368,0,0,0.00029107844,0.0009447331,0.0016977929,0.0012676949,0.00055164803
		elk	42	0,0,0,0,0,0,0,0.0057923044
		flying	42	0.0017491692,0.0011235955,0.0035762182,0.001309853,0.0014170996,0.00028296548,0,0.0008274721
		material	42	0.0029735875,0,0,0.0005821569,0.0009447331,0.0011318619,0.00084512995,0.0006895601
		video	42	0.00017491692,0,0,0.0018920099,0.00023618327,0.0033955858,0.00063384743,0
		point	39	0.00052475074,0.0011235955,0.00089405454,0.0005821569,0.0011809164,0.00056593097,0.00042256498,0.002482416
		left	38	0.00052475074,0,0.00044702727,0.0018920099,0.0011809164,0.00084889645,0.00063384743,0.00096538407
		animal	37	0,0,0,0,0,0.00014148274,0,0.004964832
		long	37	0.0008745846,0.0011235955,0.00089405454,0.00087323535,0.0014170996,0.0012733446,0,0.0011032961
		took	37	0.0015742523,0.004494382,0.00089405454,0.0010187746,0.00023618327,0.0014148274,0.00063384743,0.00013791201
		owner	36	0.002099003,0,0,0.00043661767,0.0009447331,0.0012733446,0.00084512995,0.00055164803
		copyright	35	0.002099003,0,0,0.00043661767,0.0009447331,0.0011318619,0.00084512995,0.00055164803
		military	35	0,0,0.0013410818,0.00043661767,0.0014170996,0.0015563101,0.0012676949,0.0008274721
		sightings	35	0.0012244184,0,0.0013410818,0.0010187746,0.0014170996,0.00042444823,0.0016902599,0.00013791201
		flight	34	0.00017491692,0,0,0.0032018628,0.0016532829,0,0.00021128249,0.00041373604
		group	34	0.00069966767,0.0011235955,0,0.0011643138,0.0014170996,0.0007074137,0.00042256498,0.0011032961
		hair	34	0,0,0.00089405454,0,0,0,0,0.0044131842
		sighting	34	0.0008745846,0,0.00044702727,0.0005821569,0.0007085498,0.0012733446,0.0012676949,0.0008274721
		day	33	0.0012244184,0.0011235955,0.00089405454,0.00043661767,0.00047236655,0.0009903791,0.00063384743,0.0011032961
		ground	33	0.00017491692,0,0.0022351362,0.0005821569,0.0009447331,0.00028296548,0.0010564125,0.0016549441
		later	33	0.0008745846,0,0,0.0017464707,0.00047236655,0.00084889645,0.00063384743,0.0006895601
		night	33	0.00034983383,0.0011235955,0.0017881091,0.0007276961,0.0007085498,0.00056593097,0.0027466724,0.00013791201
		right	32	0.00069966767,0.0011235955,0,0.00029107844,0.0030703826,0.0007074137,0.0014789774,0
		taken	32	0.0012244184,0,0,0.00014553922,0,0.0015563101,0.0010564125,0.0011032961
		ufos	32	0.0017491692,0,0.00044702727,0.0007276961,0,0.00042444823,0.0023241073,0.00027582402
		lake	31	0,0,0,0.00029107844,0,0.0018392756,0.00063384743,0.0017928561
		slowly	31	0.00017491692,0,0.00044702727,0.00014553922,0,0.002122241,0.00021128249,0.0016549441
		way	31	0.00034983383,0.0011235955,0.0017881091,0.001309853,0.00023618327,0,0.0010564125,0.001241208
		began	30	0.00052475074,0,0,0.00043661767,0.0009447331,0.00056593097,0.00021128249,0.0020686802
		below	30	0.00017491692,0,0.00044702727,0.00014553922,0.00023618327,0,0.00063384743,0.0031719762
		heard	30	0.00052475074,0,0.00089405454,0.00087323535,0.0014170996,0.0012733446,0.00063384743,0.00013791201
		herd	30	0,0,0,0,0,0,0,0.0041373605
		north	30	0.00017491692,0,0.00044702727,0.00029107844,0.0011809164,0.00084889645,0.00084512995,0.0015170322
		stated	30	0.00034983383,0.002247191,0,0.0005821569,0,0.0007074137,0.00042256498,0.0020686802
		story	30	0.0008745846,0,0,0.00087323535,0,0.0022637239,0.00021128249,0.00027582402
