&#160;	&#160;	Term	Count	Trend
		object	1261	0.0056506544
		ufo	1232	0.005520703
		time	550	0.0024645994
		said	525	0.002352572
		like	495	0.0022181394
		light	475	0.0021285177
		air	451	0.0020209714
		lights	428	0.0019179065
		saw	419	0.0018775766
		use	369	0.0016535221
		feet	367	0.0016445599
		seen	358	0.0016042301
		craft	350	0.0015683814
		area	328	0.0014697975
		just	319	0.0014294677
		flying	301	0.0013488081
		case	280	0.0012547051
		sighting	277	0.0012412618
		ã	273	0.0012233375
		report	269	0.0012054131
		later	266	0.0011919698
		reported	260	0.0011650834
		force	253	0.0011337157
		witnesses	246	0.0011023481
		material	238	0.0010664994
		told	232	0.0010396128
		objects	226	0.0010127263
		ground	224	0.0010037641
		casebook	223	0.000999283
		white	218	0.0009768775
		night	214	0.0009589532
		away	209	0.00093654776
		came	207	0.0009275856
		car	205	0.0009186234
		sightings	203	0.00090966123
		incident	201	0.00090069906
		radar	201	0.00090069906
		copyright	199	0.0008917369
		point	199	0.0008917369
		owner	198	0.00088725577
		near	197	0.0008827747
		went	197	0.0008827747
		men	196	0.0008782936
		story	196	0.0008782936
		took	195	0.00087381253
		sky	194	0.0008693314
		left	185	0.0008290016
		base	184	0.00082452054
		witness	183	0.0008200394
		aircraft	182	0.00081555836
		appeared	182	0.00081555836
		looked	180	0.0008065962
		ufos	179	0.0008021151
		began	176	0.0007886718
		reports	176	0.0007886718
		right	175	0.0007841907
		minutes	173	0.00077522855
		strange	173	0.00077522855
		police	172	0.0007707474
		new	171	0.00076626637
		red	169	0.0007573042
		bright	166	0.0007438609
		got	166	0.0007438609
		years	166	0.0007438609
		shaped	164	0.0007348987
		miles	162	0.00072593655
		day	161	0.00072145544
		high	160	0.0007169744
		taken	159	0.00071249326
		fair	154	0.00069008785
		information	154	0.00069008785
		large	153	0.00068560673
		thought	153	0.00068560673
		copyrighted	147	0.0006587202
		officer	146	0.0006542391
		people	145	0.00064975803
		long	141	0.0006318337
		moving	141	0.0006318337
		site	140	0.00062735257
		home	138	0.0006183904
		know	138	0.0006183904
		flight	136	0.0006094282
		speed	135	0.0006049471
		military	134	0.00060046604
		close	132	0.00059150386
		described	132	0.00059150386
		encounter	132	0.00059150386
		field	132	0.00059150386
		small	132	0.00059150386
		observed	130	0.0005825417
		road	130	0.0005825417
		way	129	0.0005780606
		man	128	0.0005735795
		believe	127	0.0005690984
		mr	127	0.0005690984
		top	126	0.00056461734
		turned	126	0.00056461734
		come	125	0.0005601362
		house	125	0.0005601362
		noticed	125	0.0005601362
		felt	124	0.00055565516
		north	124	0.00055565516
		sound	121	0.00054221187
		east	120	0.00053773075
		going	120	0.00053773075
		looking	120	0.00053773075
		side	120	0.00053773075
		asked	119	0.0005332497
		investigation	118	0.0005287686
		pilot	118	0.0005287686
		dr	117	0.0005242875
		alien	114	0.0005108442
		articles	114	0.0005108442
		event	114	0.0005108442
		plane	113	0.00050636317
		radio	112	0.00050188205
		unusual	112	0.00050188205
		crash	110	0.0004929199
		web	110	0.0004929199
		suddenly	109	0.00048843876
		called	108	0.0004839577
		behind	107	0.0004794766
		attributed	106	0.00047499553
		color	106	0.00047499553
		didn	106	0.00047499553
		disappeared	106	0.00047499553
		distance	106	0.00047499553
		stopped	106	0.00047499553
		look	104	0.00046603335
		trees	104	0.00046603335
		moved	103	0.00046155226
		staff	100	0.00044810897
		july	99	0.00044362788
		little	99	0.00044362788
		started	99	0.00044362788
		type	99	0.00044362788
		west	99	0.00044362788
		window	98	0.0004391468
		year	98	0.0004391468
		city	97	0.0004346657
		disc	97	0.0004346657
		heard	97	0.0004346657
		following	96	0.00043018462
		morning	96	0.00043018462
		control	95	0.00042570353
		say	95	0.00042570353
		end	94	0.00042122244
		stated	94	0.00042122244
		wilcox	94	0.00042122244
		center	93	0.00041674136
		immediately	93	0.00041674136
		members	93	0.00041674136
		size	93	0.00041674136
		apparently	92	0.00041226027
		experience	92	0.00041226027
		october	91	0.00040777918
		original	91	0.00040777918
		altitude	90	0.0004032981
		p.m	90	0.0004032981
		slowly	90	0.0004032981
		below	89	0.000398817
		position	89	0.000398817
		south	89	0.000398817
		video	89	0.000398817
		watched	89	0.000398817
		make	88	0.0003943359
		place	88	0.0003943359
		second	88	0.0003943359
		similar	88	0.0003943359
		lake	87	0.0003898548
		saucer	87	0.0003898548
		space	87	0.0003898548
		approximately	86	0.0003853737
		blue	86	0.0003853737
		diameter	85	0.00038089263
		quite	85	0.00038089263
		article	84	0.00037641154
		days	84	0.00037641154
		direction	84	0.00037641154
		evidence	84	0.00037641154
		ft	84	0.00037641154
		group	84	0.00037641154
		old	84	0.00037641154
		shape	84	0.00037641154
		show	84	0.00037641154
		source	84	0.00037641154
		dark	83	0.00037193045
		kind	83	0.00037193045
		state	83	0.00037193045
		beings	82	0.00036744936
		clear	82	0.00036744936
		coming	82	0.00036744936
		fact	82	0.00036744936
		times	82	0.00036744936
		water	82	0.00036744936
		became	81	0.00036296828
		beyond	81	0.00036296828
		happened	81	0.00036296828
		hovering	80	0.0003584872
		section	79	0.0003540061
		seeing	79	0.0003540061
		abduction	78	0.000349525
		far	78	0.000349525
		line	78	0.000349525
		location	78	0.000349525
		station	78	0.000349525
		used	78	0.000349525
		eyes	77	0.00034504393
		government	77	0.00034504393
		green	77	0.00034504393
		hours	77	0.00034504393
		received	77	0.00034504393
		black	76	0.00034056284
		landing	76	0.00034056284
		occurred	76	0.00034056284
		seconds	76	0.00034056284
		shot	76	0.00034056284
		airport	75	0.00033608172
		continued	75	0.00033608172
		local	75	0.00033608172
		good	74	0.00033160063
		public	74	0.00033160063
		soon	74	0.00033160063
		according	73	0.00032711955
		big	73	0.00032711955
		book	73	0.00032711955
		hair	73	0.00032711955
		outside	73	0.00032711955
		things	73	0.00032711955
		train	73	0.00032711955
		available	72	0.00032263846
		details	72	0.00032263846
		events	72	0.00032263846
		number	72	0.00032263846
		officers	72	0.00032263846
		closer	71	0.00031815737
		head	71	0.00031815737
		images	71	0.00031815737
		visible	71	0.00031815737
		claimed	70	0.00031367628
		low	70	0.00031367628
		passed	70	0.00031367628
		couple	69	0.0003091952
		family	69	0.0003091952
		having	69	0.0003091952
		official	69	0.0003091952
		photograph	69	0.0003091952
		view	69	0.0003091952
		wife	69	0.0003091952
		a.m	68	0.0003047141
		bridge	68	0.0003047141
		pilots	68	0.0003047141
		animal	67	0.00030023302
		hovered	67	0.00030023302
		knew	67	0.00030023302
		mrs	67	0.00030023302
		sight	67	0.00030023302
		tell	67	0.00030023302
		unidentified	67	0.00030023302
		bruce	66	0.00029575193
		different	66	0.00029575193
		removed	66	0.00029575193
		tower	66	0.00029575193
		contact	65	0.00029127084
		course	65	0.00029127084
		earlier	65	0.00029127084
		entry	65	0.00029127084
		general	65	0.00029127084
		given	65	0.00029127084
		security	65	0.00029127084
		door	64	0.00028678976
		jim	64	0.00028678976
		national	64	0.00028678976
		provided	64	0.00028678976
		research	64	0.00028678976
		richards	64	0.00028678976
		secret	64	0.00028678976
		weather	64	0.00028678976
		able	63	0.00028230867
		added	63	0.00028230867
		inside	63	0.00028230867
		photo	63	0.00028230867
		returned	63	0.00028230867
		sent	63	0.00028230867
		unknown	63	0.00028230867
		account	62	0.00027782758
		captain	62	0.00027782758
		early	62	0.00027782758
		glow	62	0.00027782758
		orange	62	0.00027782758
		slightly	62	0.00027782758
		team	62	0.00027782758
		think	62	0.00027782758
		aliens	61	0.00027334646
		bledsoe	61	0.00027334646
		created	61	0.00027334646
		edge	61	0.00027334646
		evening	61	0.00027334646
		film	61	0.00027334646
		frightened	61	0.00027334646
