&#160;	&#160;	Term	Count	Trend
		said	166	0.0027432123
		martians	164	0.0027101615
		people	159	0.0026275346
		came	151	0.0024953317
		saw	129	0.0021317734
		black	122	0.0020160957
		time	121	0.0019995703
		man	119	0.0019665195
		little	112	0.0018508419
		men	108	0.0017847405
		road	104	0.0017186389
		night	102	0.0016855883
		way	100	0.0016525375
		went	99	0.0016360121
		like	95	0.0015699106
		brother	91	0.0015038091
		pit	83	0.0013716061
		martian	79	0.0013055046
		water	79	0.0013055046
		smoke	78	0.0012889792
		red	73	0.0012063524
		stood	72	0.001189827
		heard	71	0.0011733016
		day	70	0.0011567762
		houses	68	0.0011237254
		cylinder	66	0.0010906748
		seen	66	0.0010906748
		things	64	0.001057624
		far	63	0.0010410986
		house	62	0.0010245732
		away	61	0.0010080478
		trees	61	0.0010080478
		common	60	0.0009915225
		london	60	0.0009915225
		hill	59	0.0009749971
		suddenly	58	0.00095847173
		began	57	0.00094194635
		heat	57	0.00094194635
		side	57	0.00094194635
		near	53	0.00087584485
		woking	53	0.00087584485
		come	52	0.00085931947
		place	51	0.00084279414
		great	50	0.00082626875
		guns	50	0.00082626875
		long	50	0.00082626875
		lay	49	0.00080974336
		behind	48	0.000793218
		going	48	0.000793218
		light	48	0.000793218
		turned	48	0.000793218
		just	47	0.0007766926
		moment	47	0.0007766926
		sky	47	0.0007766926
		thought	47	0.0007766926
		white	47	0.0007766926
		strange	46	0.00076016726
		eyes	45	0.00074364187
		face	45	0.00074364187
		looked	45	0.00074364187
		machine	45	0.00074364187
		beyond	43	0.0007105911
		mars	43	0.0007105911
		slowly	43	0.0007105911
		earth	42	0.00069406576
		green	42	0.00069406576
		feet	41	0.0006775404
		know	41	0.0006775404
		passed	41	0.0006775404
		round	41	0.0006775404
		left	40	0.000661015
		mind	40	0.000661015
		dead	39	0.0006444896
		got	39	0.0006444896
		street	39	0.0006444896
		coming	38	0.0006279642
		crowd	38	0.0006279642
		death	38	0.0006279642
		door	38	0.0006279642
		window	38	0.0006279642
		body	37	0.0006114389
		food	37	0.0006114389
		ray	37	0.0006114389
		dark	36	0.0005949135
		days	36	0.0005949135
		running	36	0.0005949135
		air	35	0.0005783881
		curate	35	0.0005783881
		morning	35	0.0005783881
		presently	35	0.0005783881
		station	35	0.0005783881
		bridge	34	0.0005618627
		darkness	34	0.0005618627
		grew	34	0.0005618627
		half	34	0.0005618627
		head	34	0.0005618627
		human	34	0.0005618627
		quite	34	0.0005618627
		sight	34	0.0005618627
		standing	34	0.0005618627
		wife	33	0.0005453374
		life	32	0.000528812
		rose	32	0.000528812
		silent	32	0.000528812
		sound	32	0.000528812
		told	32	0.000528812
		fighting	31	0.0005122866
		river	31	0.0005122866
		scarcely	31	0.0005122866
		weed	31	0.0005122866
		blue	30	0.0004957612
		ground	30	0.0004957612
		hand	30	0.0004957612
		huge	30	0.0004957612
		it's	30	0.0004957612
		number	30	0.0004957612
		pine	30	0.0004957612
		planet	30	0.0004957612
		stopped	30	0.0004957612
		became	29	0.00047923587
		chapter	29	0.00047923587
		close	29	0.00047923587
		faint	29	0.00047923587
		gone	29	0.00047923587
		high	29	0.00047923587
		railway	29	0.00047923587
		staring	29	0.00047923587
		artilleryman	28	0.00046271048
		clear	28	0.00046271048
		end	28	0.00046271048
		think	28	0.00046271048
		ulla	28	0.00046271048
		news	27	0.00044618512
		ran	27	0.00044618512
		sat	27	0.00044618512
		second	27	0.00044618512
		smashed	27	0.00044618512
		streets	27	0.00044618512
		weybridge	27	0.00044618512
		felt	26	0.00042965973
		horse	26	0.00042965973
		lane	26	0.00042965973
		nearer	26	0.00042965973
		sand	26	0.00042965973
		sun	26	0.00042965973
		work	26	0.00042965973
		world	26	0.00042965973
		country	25	0.00041313437
		line	25	0.00041313437
		past	25	0.00041313437
		fear	24	0.000396609
		fell	24	0.000396609
		gave	24	0.000396609
		hands	24	0.000396609
		horsell	24	0.000396609
		save	24	0.000396609
		yards	24	0.000396609
		cart	23	0.00038008363
		chance	23	0.00038008363
		direction	23	0.00038008363
		drove	23	0.00038008363
		grey	23	0.00038008363
		idea	23	0.00038008363
		kitchen	23	0.00038008363
		ruins	23	0.00038008363
		took	23	0.00038008363
		broken	22	0.00036355824
		burning	22	0.00036355824
		dust	22	0.00036355824
		edge	22	0.00036355824
		escape	22	0.00036355824
		fro	22	0.00036355824
		knew	22	0.00036355824
		park	22	0.00036355824
		remember	22	0.00036355824
		steam	22	0.00036355824
		appeared	21	0.00034703288
		blackened	21	0.00034703288
		corner	21	0.00034703288
		destruction	21	0.00034703288
		evening	21	0.00034703288
		happened	21	0.00034703288
		heavy	21	0.00034703288
		machines	21	0.00034703288
		make	21	0.00034703288
		noise	21	0.00034703288
		soon	21	0.00034703288
		south	21	0.00034703288
		struck	21	0.00034703288
		that's	21	0.00034703288
		altogether	20	0.0003305075
		bodies	20	0.0003305075
		brought	20	0.0003305075
		couple	20	0.0003305075
		creatures	20	0.0003305075
		dog	20	0.0003305075
		early	20	0.0003305075
		fallen	20	0.0003305075
		god	20	0.0003305075
		leatherhead	20	0.0003305075
		looking	20	0.0003305075
		miles	20	0.0003305075
		ogilvy	20	0.0003305075
		possible	20	0.0003305075
		sunday	20	0.0003305075
		terror	20	0.0003305075
		thames	20	0.0003305075
		top	20	0.0003305075
		vapour	20	0.0003305075
		driving	19	0.0003139821
		flash	19	0.0003139821
		good	19	0.0003139821
		gun	19	0.0003139821
		hot	19	0.0003139821
		living	19	0.0003139821
		northward	19	0.0003139821
		order	19	0.0003139821
		papers	19	0.0003139821
		position	19	0.0003139821
		remained	19	0.0003139821
		rising	19	0.0003139821
		scullery	19	0.0003139821
		small	19	0.0003139821
		space	19	0.0003139821
		tell	19	0.0003139821
		bit	18	0.00029745675
		certainly	18	0.00029745675
		chertsey	18	0.00029745675
		dawn	18	0.00029745675
		deep	18	0.00029745675
		falling	18	0.00029745675
		flame	18	0.00029745675
		foot	18	0.00029745675
		making	18	0.00029745675
		maybury	18	0.00029745675
		moving	18	0.00029745675
		o'clock	18	0.00029745675
		open	18	0.00029745675
		right	18	0.00029745675
		set	18	0.00029745675
		sort	18	0.00029745675
		st	18	0.00029745675
		terrible	18	0.00029745675
		woman	18	0.00029745675
		woods	18	0.00029745675
		big	17	0.00028093136
		bright	17	0.00028093136
		busy	17	0.00028093136
		church	17	0.00028093136
		cried	17	0.00028093136
		danger	17	0.00028093136
		deserted	17	0.00028093136
		eastward	17	0.00028093136
		firing	17	0.00028093136
		group	17	0.00028093136
		growing	17	0.00028093136
		handling	17	0.00028093136
		hurrying	17	0.00028093136
		mass	17	0.00028093136
		matter	17	0.00028093136
		powder	17	0.00028093136
		quiet	17	0.00028093136
		say	17	0.00028093136
		taken	17	0.00028093136
		there's	17	0.00028093136
		voice	17	0.00028093136
		watching	17	0.00028093136
		able	16	0.000264406
		abruptly	16	0.000264406
		action	16	0.000264406
		advance	16	0.000264406
		bank	16	0.000264406
		blood	16	0.000264406
		ceased	16	0.000264406
		doing	16	0.000264406
		doubt	16	0.000264406
		farther	16	0.000264406
		headlong	16	0.000264406
		hid	16	0.000264406
		hours	16	0.000264406
		hurried	16	0.000264406
		i've	16	0.000264406
		imagine	16	0.000264406
		invisible	16	0.000264406
		large	16	0.000264406
		minute	16	0.000264406
		outside	16	0.000264406
		paper	16	0.000264406
		room	16	0.000264406
		shouted	16	0.000264406
		story	16	0.000264406
		stream	16	0.000264406
		sudden	16	0.000264406
		train	16	0.000264406
		vast	16	0.000264406
		wall	16	0.000264406
		watched	16	0.000264406
		alive	15	0.0002478806
		below	15	0.0002478806
		case	15	0.0002478806
