&#160;	&#160;	Term	Count	Trend
		panel	80	0.009771589
		information	60	0.007328692
		security	60	0.007328692
		dr	44	0.005374374
		report	39	0.00476365
		sightings	36	0.0043972153
		objects	33	0.0040307804
		intelligence	32	0.0039086356
		scientific	29	0.0035422011
		flying	23	0.0028093318
		program	23	0.0028093318
		robertson	23	0.0028093318
		air	22	0.002687187
		blacked	22	0.002687187
		reports	22	0.002687187
		atic	21	0.002565042
		cia	21	0.002565042
		mr	19	0.0023207525
		phenomena	19	0.0023207525
		unidentified	19	0.0023207525
		case	17	0.0020764626
		cases	17	0.0020764626
		1952	16	0.0019543178
		data	16	0.0019543178
		force	16	0.0019543178
		evidence	15	0.001832173
		material	15	0.001832173
		meeting	15	0.001832173
		radar	15	0.001832173
		subject	15	0.001832173
		believed	14	0.001710028
		educational	14	0.001710028
		members	14	0.001710028
		national	14	0.001710028
		present	14	0.001710028
		request	14	0.001710028
		durant	13	0.0015878832
		page	13	0.0015878832
		personnel	13	0.0015878832
		public	13	0.0015878832
		related	13	0.0015878832
		si	13	0.0015878832
		sighting	13	0.0015878832
		tab	13	0.0015878832
		showing	12	0.0014657384
		advisory	11	0.0013435935
		film	11	0.0013435935
		great	11	0.0013435935
		hynek	11	0.0013435935
		motion	11	0.0013435935
		project	11	0.0013435935
		records	11	0.0013435935
		technical	11	0.0013435935
		training	11	0.0013435935
		u.f.o	11	0.0013435935
		university	11	0.0013435935
		copy	10	0.0012214486
		hostile	10	0.0012214486
		mass	10	0.0012214486
		meetings	10	0.0012214486
		possible	10	0.0012214486
		result	10	0.0012214486
		sky	10	0.0012214486
		1953	9	0.0010993038
		action	9	0.0010993038
		aircraft	9	0.0010993038
		apparent	9	0.0010993038
		artifacts	9	0.0010993038
		available	9	0.0010993038
		briefing	9	0.0010993038
		histories	9	0.0010993038
		january	9	0.0010993038
		light	9	0.0010993038
		problem	9	0.0010993038
		released	9	0.0010993038
		unexplained	9	0.0010993038
		berkner	8	0.0009771589
		california	8	0.0009771589
		discussion	8	0.0009771589
		following	8	0.0009771589
		interpretation	8	0.0009771589
		investigation	8	0.0009771589
		referred	8	0.0009771589
		reported	8	0.0009771589
		suggested	8	0.0009771589
		time	8	0.0009771589
		tremonton	8	0.0009771589
		value	8	0.0009771589
		version	8	0.0009771589
		august	7	0.000855014
		concern	7	0.000855014
		concerned	7	0.000855014
		dangers	7	0.000855014
		director	7	0.000855014
		effort	7	0.000855014
		efforts	7	0.000855014
		explanations	7	0.000855014
		foia	7	0.000855014
		general	7	0.000855014
		high	7	0.000855014
		items	7	0.000855014
		noted	7	0.000855014
		object	7	0.000855014
		october	7	0.000855014
		officer	7	0.000855014
		photo	7	0.000855014
		probably	7	0.000855014
		programs	7	0.000855014
		reporting	7	0.000855014
		required	7	0.000855014
		ruppelt	7	0.000855014
		study	7	0.000855014
		use	7	0.000855014
		years	7	0.000855014
		ad	6	0.0007328692
		adjourned	6	0.0007328692
		alvarez	6	0.0007328692
		appeared	6	0.0007328692
		assistant	6	0.0007328692
		balloons	6	0.0007328692
		bright	6	0.0007328692
