&#160;	&#160;	Term	Count	Trend
		roswell	51	0.031847134,0.007292616,0.009512485,0.002617801,0.022954091
		army	38	0.022292994,0.00911577,0.0083234245,0.002617801,0.011976048
		air	37	0.025477707,0.010938925,0.011890606,0.0013089005,0.005988024
		said	34	0.0031847134,0.012762078,0.0047562425,0.0039267014,0.011976048
		weather	34	0,0.01823154,0.013079667,0.002617801,0.000998004
		disc	29	0.012738854,0.003646308,0,0,0.020958085
		flying	26	0.00955414,0.0054694624,0.005945303,0.005235602,0.007984032
		office	24	0.01910828,0.003646308,0.0011890606,0.0013089005,0.011976048
		object	23	0.006369427,0.011850501,0.0023781213,0,0.005988024
		field	21	0.022292994,0.0054694624,0.0083234245,0.0013089005,0
		marcel	20	0.012738854,0.003646308,0.007134364,0.002617801,0.003992016
		officer	19	0.00955414,0.0054694624,0.0083234245,0,0.002994012
		balloon	18	0,0.00911577,0.007134364,0.002617801,0
		ranch	18	0.006369427,0.001823154,0.0047562425,0.0039267014,0.006986028
		tinfoil	17	0,0.0027347312,0.0083234245,0.0039267014,0.003992016
		disk	16	0.015923567,0.000911577,0.007134364,0.005235602,0
		sheriff's	16	0.00955414,0.001823154,0,0,0.010978044
		device	15	0,0.0054694624,0.0107015455,0,0
		sheriff	15	0.0031847134,0,0.0023781213,0.002617801,0.00998004
		general	14	0,0.008204193,0.005945303,0,0
		kite	12	0,0.003646308,0.0083234245,0.0013089005,0
		balloons	11	0,0.008204193,0.0011890606,0.0013089005,0
		base	11	0,0.000911577,0,0,0.00998004
		brizell	11	0,0,0,0,0.010978044
		intelligence	11	0.012738854,0,0.0011890606,0,0.005988024
		major	11	0.006369427,0.000911577,0.0023781213,0.0013089005,0.00499002
		newton	11	0,0.004557885,0.007134364,0,0
		radar	11	0,0.006381039,0.0047562425,0,0
		ramey	11	0,0.006381039,0.0047562425,0,0
		wilcox	11	0,0,0,0.0039267014,0.007984032
		509th	10	0.00955414,0.001823154,0.0023781213,0,0.002994012
		brazell	10	0,0.004557885,0.005945303,0,0
		dxr	10	0,0,0,0,0.00998004
		fort	10	0,0.0054694624,0.0023781213,0,0.001996008
		headquarters	10	0.006369427,0.001823154,0.0011890606,0,0.00499002
		rancher	10	0.00955414,0.000911577,0,0.002617801,0.003992016
		time	10	0.00955414,0.000911577,0.0023781213,0.0039267014,0.000998004
		worth	10	0,0.0054694624,0.0023781213,0,0.001996008
		bomb	9	0.00955414,0.000911577,0.0023781213,0.002617801,0.000998004
		frr	9	0,0,0,0,0.008982036
